title,rooms,area_m2,price,price_per_m2,address,district,latitude,longitude,link
5-комнатная квартира · 217.9 м²,5,217.9,334476500,1535000.0,"Медеуский р-н, Талгат Бигелдинов 1/2",Медеуский,43.2645281,76.9525699,https://krisha.kz/a/show/1005842286
2-комнатная квартира · 62.6 м²,2,62.6,51269400,819000.0,"Жетысуский р-н, Райымбека 219Б",Жетысуский,43.2687822,76.920686,https://krisha.kz/a/show/761881225
4-комнатная квартира · 117 м²,4,117.0,115759800,989400.0,"Ауэзовский р-н, мкр Таугуль-3, Шаймерденова 32",Ауэзовский,43.1976412,76.8552852,https://krisha.kz/a/show/676367958
1-комнатная квартира · 34 м² · 2/5 этаж,1,34.0,39500000,1161764.71,"Медеуский р-н, Жибек жолы 33 — Абдуллиных",Медеуский,43.2632722,76.9601192,https://krisha.kz/a/show/1005956202
2-комнатная квартира · 68.92 м²,2,68.92,30669400,445000.0,"Турксибский р-н, мкр Нуршашкан (Колхозши), Алатау 36",Турксибский,43.331758,77.020957,https://krisha.kz/a/show/1000460175
1-комнатная квартира · 45 м²,1,45.0,24930000,554000.0,"Турксибский р-н, Сарыарка 1/1",Турксибский,43.3467368,76.9689034,https://krisha.kz/a/show/687262524
3-комнатная квартира · 61 м² · 1/13 этаж,3,61.0,45000000,737704.92,"Алмалинский р-н, Муратбаева 14 — Муратбаева Макатаева",Алмалинский,43.2648547,76.9180521,https://krisha.kz/a/show/1006041423
2-комнатная квартира · 48.84 м²,2,48.84,38583600,790000.0,"Алатауский р-н, мкр Дарабоз, Бауыржана Момышулы 11/12а",Алатауский,43.2751339,76.8504567,https://krisha.kz/a/show/762071085
3-комнатная квартира · 108.27 м²,3,108.27,129924000,1200000.0,"Алмалинский р-н, Шевченко 109",Алмалинский,43.24504839999999,76.92477889999999,https://krisha.kz/a/show/1000752773
2-комнатная квартира · 45 м² · 7/8 этаж,2,45.0,40000000,888888.89,"Бостандыкский р-н, Арайлы 12 — РЕМИЗОВКА",Бостандыкский,43.1891753,76.93094599999999,https://krisha.kz/a/show/1003297275
2-комнатная квартира · 76.7 м² · 14/20 этаж,2,76.7,62000000,808344.2,"Бостандыкский р-н, Ходжанова",Бостандыкский,43.2102078,76.9023938,https://krisha.kz/a/show/1004891165
3-комнатная квартира · 80 м² · 5/9 этаж,3,80.0,115000000,1437500.0,"Медеуский р-н, мкр Юбилейный, Омарова 35/1",Медеуский,43.2645281,76.9525699,https://krisha.kz/a/show/1005906828
2-комнатная квартира · 45.5 м² · 3/5 этаж,2,45.5,28500000,626373.63,"Турксибский р-н, мкр Жулдыз-2 35",Турксибский,43.359503,76.990866,https://krisha.kz/a/show/1001048416
3-комнатная квартира · 84 м² · 1/4 этаж,3,84.0,61000000,726190.48,"Наурызбайский р-н, мкр Рахат, Култобе 24/1-24/10",Наурызбайский,43.1808317,76.8666679,https://krisha.kz/a/show/1004506089
7-комнатная квартира · 500 м² · 19/20 этаж,7,500.0,550000000,1100000.0,"Бостандыкский р-н, Аль-Фараби 21 — Каратаева",Бостандыкский,43.2299484,76.9399944,https://krisha.kz/a/show/1002655991
3-комнатная квартира · 137 м²,3,137.0,98640000,720000.0,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",Бостандыкский,43.1739926,76.92253199999999,https://krisha.kz/a/show/667684902
1-комнатная квартира · 38.33 м²,1,38.33,31813900,830000.0,"Алатауский р-н, мкр Дарабоз, Бауыржана Момышулы 11/12а",Алатауский,43.2751339,76.8504567,https://krisha.kz/a/show/762070733
3-комнатная квартира · 64 м² · 2/4 этаж,3,64.0,45000000,703125.0,"Алмалинский р-н, Чокина 120 — Толе би Байзакова",Алмалинский,43.25457280000001,76.9101956,https://krisha.kz/a/show/1006041383
3-комнатная квартира · 123.2 м²,3,123.2,94188002,764513.0,"Медеуский р-н, Омаровой 35/1",Медеуский,43.2132358,76.9802127,https://krisha.kz/a/show/1005703858
2-комнатная квартира · 51.8 м²,2,51.8,45014200,869000.0,"Жетысуский р-н, Райымбека 219Б",Жетысуский,43.2687822,76.920686,https://krisha.kz/a/show/761881222
2-комнатная квартира · 92.96 м²,2,92.96,96864320,1042000.0,"Бостандыкский р-н, Лебедева 1/1",Бостандыкский,43.2225992,76.8842667,https://krisha.kz/a/show/694723351
1-комнатная квартира · 40.5 м²,1,40.5,18000000,444444.44,вдоль Капчагайской трассы,,,,https://krisha.kz/a/show/682004966
5-комнатная квартира · 296 м²,5,296.0,400000000,1351351.35,"Медеуский р-н, Аскар Тау 364",Медеуский,43.2645281,76.9525699,https://krisha.kz/a/show/675850991
2-комнатная квартира · 45.7 м²,2,45.7,41404200,906000.0,"Жетысуский р-н, Райымбека 219Б",Жетысуский,43.2687822,76.920686,https://krisha.kz/a/show/761881220
4-комнатная квартира · 130.27 м²,4,130.27,105779240,812000.0,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",Наурызбайский,43.1996029,76.7938145,https://krisha.kz/a/show/1000286589
2-комнатная квартира · 62.32 м²,2,62.32,25862800,415000.0,"Турксибский р-н, мкр Нуршашкан (Колхозши), Алатау 36",Турксибский,43.331758,77.020957,https://krisha.kz/a/show/1000460170
2-комнатная квартира · 108 м²,2,108.0,71280000,660000.0,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",Бостандыкский,43.1739926,76.92253199999999,https://krisha.kz/a/show/667684878
1-комнатная квартира · 29.6 м² · 5/16 этаж,1,29.6,23000000,777027.03,"Алмалинский р-н, Ауэзова 2/4",Алмалинский,43.2591777,76.90120139999999,https://krisha.kz/a/show/1006041323
3-комнатная квартира · 85 м² · 4/12 этаж,3,85.0,145000000,1705882.35,"Бостандыкский р-н, Минина 14а — Готовая к жизни квартира",Бостандыкский,43.2367751,76.9259222,https://krisha.kz/a/show/1005902056
